,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
292,58.16745193799337,7.178538675058032,0.9006717205047607,0.035506886066207784,False,10,auto,4,5,1000,16,"{'bootstrap': False, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 1000, 'random_state': 16}",0.9744435284418796,0.9798021434460017,0.9715463917525773,0.9752640212134862,0.0034199673777258904,351
293,112.07693672180176,3.0392917703112627,2.1618778705596924,0.3448114141158742,False,10,auto,4,5,2000,16,"{'bootstrap': False, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 2000, 'random_state': 16}",0.9740313272877164,0.9781533388293487,0.9715463917525773,0.9745770192898808,0.002724735123485631,515
294,28.695857922236126,2.419515091144518,0.5526073773701986,0.048800709769144426,False,10,auto,4,10,500,16,"{'bootstrap': False, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 500, 'random_state': 16}",0.9744435284418796,0.9785655399835119,0.9707216494845361,0.9745769059699759,0.0032036434168751893,529
295,52.93017991383871,1.972734273408641,0.9692612489064535,0.10841369220047693,False,10,auto,4,10,1000,16,"{'bootstrap': False, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 1000, 'random_state': 16}",0.9752679307502061,0.9781533388293487,0.9715463917525773,0.9749892204440439,0.0027044650727867828,453
296,110.53360446294148,1.7041569667596794,2.054108142852783,0.28326910329006255,False,10,auto,4,10,2000,16,"{'bootstrap': False, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 2000, 'random_state': 16}",0.9748557295960428,0.9781533388293487,0.9715463917525773,0.9748518200593229,0.0026972762659360316,477
297,28.167744318644207,1.9700317611571387,0.4544360637664795,0.025099704127306968,False,10,sqrt,1,2,500,16,"{'bootstrap': False, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 16}",0.9736191261335532,0.9802143446001649,0.971958762886598,0.9752640778734388,0.003565394510874335,315
298,56.089678843816124,4.134435798822282,0.9819445610046387,0.094680404396553,False,10,sqrt,1,2,1000,16,"{'bootstrap': False, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 16}",0.9740313272877164,0.9802143446001649,0.9723711340206186,0.9755389353028332,0.003374774016553829,197
299,107.63837353388469,3.1846276829811515,1.7607315381368,0.042360724781772816,False,10,sqrt,1,2,2000,16,"{'bootstrap': False, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 2000, 'random_state': 16}",0.9756801319043693,0.9806265457543281,0.971958762886598,0.976088480181765,0.0035503686378804676,53
300,29.242631196975708,2.0748948580918487,0.6073301633199056,0.09732692589912048,False,10,sqrt,1,5,500,16,"{'bootstrap': False, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500, 'random_state': 16}",0.9752679307502061,0.9793899422918384,0.9723711340206186,0.9756763356875543,0.002879932097772877,145
301,57.25786050160726,2.39841717663388,0.9098553657531738,0.05009699750909395,False,10,sqrt,1,5,1000,16,"{'bootstrap': False, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 1000, 'random_state': 16}",0.9760923330585326,0.9814509480626545,0.971958762886598,0.9765006813359284,0.0038859109692045164,17
